,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
19,20,2012-01-27,32-082,DAL,W (+15),UTA,1,31:51,7,12,.583,3,4,.750,2,4,.500,1,4,5,1,0,0,1,3,19,13.0,+15
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2012-01-29,32-084,DAL,W (+1),SAS,0,18:44,2,5,.400,0,2,.000,0,0,,2,3,5,0,0,0,0,1,4,3.2,+4
22,22,2012-01-30,32-085,DAL,W (+23),PHO,0,15:32,3,7,.429,1,2,.500,0,0,,1,4,5,2,1,0,0,0,7,7.6,+6
23,,2012-02-01,32-087,DAL,L (-9),OKC,Not With Team,,,,,,,,,,,,,,,,,,,,,
24,23,2012-02-03,32-089,DAL,L (-11),IND,0,20:30,1,7,.143,0,2,.000,4,5,.800,2,4,6,3,0,0,2,0,6,3.8,-1
25,24,2012-02-04,32-090,DAL,L (-3),CLE,0,26:12,2,7,.286,0,2,.000,3,6,.500,0,5,5,3,0,0,1,2,7,3.5,+19
26,25,2012-02-08,32-094,DAL,W (+10),DEN,0,19:26,3,7,.429,0,0,,0,0,,2,3,5,2,1,0,0,3,6,5.8,-4
27,26,2012-02-10,32-096,DAL,W (+7),MIN,0,13:33,3,8,.375,0,1,.000,0,0,,0,2,2,1,0,1,0,4,6,2.0,-17
28,27,2012-02-11,32-097,DAL,W (+3),POR,0,22:34,4,5,.800,2,2,1.000,0,2,.000,1,4,5,0,0,0,2,2,10,6.4,0
29,28,2012-02-13,32-099,DAL,W (+4),LAC,0,21:14,3,8,.375,1,1,1.000,2,2,1.000,0,3,3,3,1,0,2,2,9,5.8,+3
30,29,2012-02-15,32-101,DAL,W (+18),DEN,0,29:45,6,12,.500,1,4,.250,1,2,.500,1,2,3,2,1,1,1,3,14,9.8,-3
31,30,2012-02-17,32-103,DAL,W (+7),PHI,0,26:36,2,5,.400,1,2,.500,0,1,.000,1,2,3,4,1,0,2,3,5,3.8,-4
32,31,2012-02-19,32-105,DAL,L (-7),NYK,0,19:38,1,6,.167,0,4,.000,0,0,,0,6,6,3,0,0,2,3,2,-1.1,-17
33,32,2012-02-20,32-106,DAL,W (+16),BOS,0,19:31,2,8,.250,0,5,.000,0,0,,0,4,4,2,2,1,0,2,4,3.7,0
34,,2012-02-22,32-108,DAL,L (-5),LAL,Not With Team,,,,,,,,,,,,,,,,,,,,,
35,,2012-02-28,32-114,DAL,L (-1),NJN,Not With Team,,,,,,,,,,,,,,,,,,,,,
36,,2012-02-29,32-115,DAL,L (-11),MEM,Not With Team,,,,,,,,,,,,,,,,,,,,,
37,,2012-03-02,32-117,DAL,L (-5),NOH,Inactive,,,,,,,,,,,,,,,,,,,,,
38,33,2012-03-03,32-118,DAL,W (+6),UTA,0,18:02,3,5,.600,1,2,.500,2,2,1.000,0,5,5,3,0,3,0,1,9,12.0,+6
39,34,2012-03-05,32-120,DAL,L (-4),OKC,0,24:19,3,9,.333,0,2,.000,0,0,,1,1,2,0,0,1,1,1,6,1.2,+6
40,35,2012-03-06,32-121,DAL,W (+10),NYK,0,22:50,1,9,.111,0,2,.000,1,2,.500,1,3,4,1,0,1,1,0,3,-1.3,-5
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,36,2012-03-08,32-123,DAL,L (-2),PHO,0,22:16,6,10,.600,1,1,1.000,2,5,.400,0,4,4,2,0,0,0,0,15,11.8,-12
43,37,2012-03-09,32-124,DAL,L (-13),SAC,0,22:04,2,7,.286,0,3,.000,0,0,,3,1,4,2,0,0,0,1,4,3.3,-1
44,38,2012-03-10,32-125,DAL,L (-24),GSW,0,18:54,1,6,.167,1,2,.500,0,0,,1,3,4,2,0,1,0,2,3,2.1,-21
45,39,2012-03-13,32-128,DAL,W (+9),WAS,0,18:38,1,6,.167,0,1,.000,1,1,1.000,2,1,3,3,1,0,0,4,3,2.4,-13
46,40,2012-03-15,32-130,DAL,W (+5),CHA,0,18:37,1,4,.250,0,2,.000,0,0,,1,4,5,2,0,1,2,1,2,1.2,+1
47,41,2012-03-17,32-132,DAL,W (+7),SAS,0,20:36,1,7,.143,0,2,.000,2,2,1.000,0,3,3,1,1,1,0,1,4,2.4,-4
48,42,2012-03-19,32-134,DAL,W (+17),DEN,0,25:50,3,7,.429,0,1,.000,0,0,,1,8,9,4,1,0,4,5,6,3.2,+4
49,43,2012-03-21,32-136,DAL,L (-16),LAL,0,23:49,0,3,.000,0,1,.000,1,2,.500,0,1,1,1,1,0,1,2,1,-1.3,-11
50,,2012-03-23,32-138,DAL,L (-17),SAS,Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,44,2012-03-24,32-139,DAL,W (+2),HOU,0,13:17,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-2.2,-5
52,45,2012-03-27,32-142,DAL,W (+9),HOU,0,22:57,4,5,.800,0,0,,1,2,.500,0,4,4,3,1,1,0,1,9,11.3,+8
53,46,2012-03-29,32-144,DAL,L (-21),MIA,0,23:17,4,6,.667,2,2,1.000,2,2,1.000,2,2,4,3,0,0,2,2,12,10.7,-12
54,47,2012-03-30,32-145,DAL,W (+2),ORL,0,12:31,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,0,0,0,2,-0.5,-3
55,,2012-04-02,32-148,DAL,L (-19),LAC,Not With Team,,,,,,,,,,,,,,,,,,,,,
56,48,2012-04-04,32-150,DAL,W (+10),MEM,0,18:55,2,5,.400,0,1,.000,1,2,.500,0,5,5,0,1,0,0,1,5,4.0,-11
57,49,2012-04-06,32-152,DAL,L (-2),POR,0,11:24,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,2,1,3,-0.1,-2
58,50,2012-04-07,32-153,DAL,L (-5),MEM,0,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-7
59,,2012-04-10,32-156,DAL,W (+10),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
60,,2012-04-12,32-158,DAL,W (+9),GSW,Inactive,,,,,,,,,,,,,,,,,,,,,
61,,2012-04-13,32-159,DAL,W (+3),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,2012-04-15,32-161,DAL,L (-4),LAL,Inactive,,,,,,,,,,,,,,,,,,,,,
64,,2012-04-16,32-162,DAL,L (-2),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
65,,2012-04-18,32-164,DAL,W (+7),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
66,,2012-04-20,32-166,DAL,W (+10),GSW,Inactive,,,,,,,,,,,,,,,,,,,,,
67,,2012-04-21,32-167,DAL,L (-10),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
68,,2012-04-26,32-172,DAL,L (-17),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
0,1,2012-10-31,32-360,LAC,W (+9),MEM,0,16:36,1,2,.500,0,1,.000,0,0,,0,6,6,2,2,4,3,2,2,5.2,+7
1,2,2012-11-02,32-362,LAC,W (+10),LAL,0,18:36,2,8,.250,1,4,.250,0,0,,0,2,2,1,0,0,0,0,5,1.5,-6
