,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
48,47,2017-01-30,25-323,CLE,L (-7),DAL,1,25:30,0,0,,0,0,,0,0,,1,7,8,0,0,0,1,3,0,0.6,-22
49,48,2017-02-01,25-325,CLE,W (+28),MIN,1,38:42,7,11,.636,0,0,,4,5,.800,8,6,14,1,1,2,1,2,18,21.4,+18
50,49,2017-02-04,25-328,CLE,W (+7),NYK,1,32:29,6,8,.750,0,0,,0,0,,4,1,5,1,0,0,1,3,12,10.4,-7
51,50,2017-02-06,25-330,CLE,W (+5),WAS,1,41:21,10,13,.769,0,0,,2,4,.500,6,6,12,2,0,0,0,1,22,23.1,+6
52,51,2017-02-08,25-332,CLE,W (+15),IND,1,35:29,3,3,1.000,0,0,,0,0,,3,7,10,2,0,1,0,3,6,10.2,+19
53,52,2017-02-09,25-333,CLE,L (-9),OKC,1,32:20,3,7,.429,0,0,,4,5,.800,1,4,5,1,1,1,1,2,10,8.4,-12
54,53,2017-02-11,25-335,CLE,W (+16),DEN,1,35:34,5,9,.556,0,0,,3,6,.500,4,9,13,1,1,1,0,3,13,14.2,+10
55,54,2017-02-14,25-338,CLE,W (+8),MIN,1,35:08,6,7,.857,0,0,,2,3,.667,6,5,11,1,0,0,2,2,14,14.7,-1
56,55,2017-02-15,25-339,CLE,W (+9),IND,1,36:34,6,11,.545,0,0,,0,0,,7,5,12,1,1,0,0,3,12,13.6,+5
57,56,2017-02-23,25-347,CLE,W (+15),NYK,1,31:16,5,7,.714,0,0,,0,0,,6,6,12,2,0,4,1,2,10,15.5,+6
58,57,2017-02-25,25-349,CLE,L (-18),CHI,1,31:40,2,5,.400,0,0,,0,0,,3,6,9,5,0,0,0,1,4,8.3,-8
59,58,2017-02-27,25-351,CLE,W (+7),MIL,1,34:16,2,4,.500,0,0,,4,6,.667,1,7,8,1,0,1,3,1,8,6.0,+8
60,59,2017-03-01,25-353,CLE,L (-4),BOS,1,34:40,4,11,.364,0,0,,1,4,.250,6,7,13,2,0,0,0,1,9,9.0,-6
61,60,2017-03-03,25-355,CLE,W (+5),ATL,1,31:14,2,3,.667,0,0,,0,0,,2,3,5,1,0,1,1,4,4,3.8,-6
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,61,2017-03-04,25-356,CLE,L (-28),MIA,1,27:47,4,9,.444,0,0,,2,4,.500,5,1,6,3,0,0,2,1,10,8.0,-17
64,62,2017-03-06,25-358,CLE,L (-8),MIA,1,35:32,3,3,1.000,0,0,,2,4,.500,4,9,13,1,0,2,2,3,8,10.7,+1
65,63,2017-03-09,25-361,CLE,L (-5),DET,1,25:58,2,5,.400,0,0,,0,2,.000,3,1,4,4,1,0,0,4,4,5.1,-22
66,64,2017-03-11,25-363,CLE,W (+12),ORL,1,27:44,6,9,.667,0,0,,2,7,.286,3,10,13,1,0,2,1,0,14,14.3,-2
67,65,2017-03-12,25-364,CLE,L (-5),HOU,1,33:05,4,4,1.000,0,0,,0,0,,4,4,8,1,0,3,1,4,8,11.0,-23
68,66,2017-03-14,26-001,CLE,W (+32),DET,1,26:23,2,4,.500,0,0,,0,0,,2,7,9,2,1,2,1,2,4,7.5,+20
