,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
61,54,2016-03-01,19-123,PHO,L (-34),CHO,1,34:28,4,16,.250,1,4,.250,4,5,.800,1,1,2,1,1,0,2,3,13,2.5,-39
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,55,2016-03-03,19-125,PHO,L (-16),MIA,1,39:23,11,21,.524,3,7,.429,9,9,1.000,0,3,3,4,0,0,4,4,34,21.8,-8
64,56,2016-03-04,19-126,PHO,W (+18),ORL,1,32:57,4,11,.364,0,0,,6,8,.750,1,3,4,6,0,1,2,2,14,10.8,+17
65,57,2016-03-06,19-128,PHO,W (+9),MEM,1,42:49,8,17,.471,4,11,.364,7,7,1.000,0,2,2,9,1,1,3,2,27,23.1,+9
66,58,2016-03-09,19-131,PHO,L (-31),NYK,1,38:56,14,28,.500,3,8,.375,1,2,.500,1,2,3,1,0,0,3,2,32,15.8,-25
67,59,2016-03-10,19-132,PHO,L (-18),DEN,1,44:05,12,24,.500,1,5,.200,10,11,.909,0,3,3,5,1,1,5,3,35,22.5,-16
68,60,2016-03-12,19-134,PHO,L (-7),GSW,1,37:23,7,19,.368,0,5,.000,4,5,.800,0,0,0,11,0,1,0,5,18,13.5,-9
69,61,2016-03-14,19-136,PHO,W (+3),MIN,1,42:31,6,14,.429,1,4,.250,3,3,1.000,0,3,3,6,0,0,6,5,16,5.7,+16
70,62,2016-03-17,19-139,PHO,L (-34),UTA,1,31:38,3,14,.214,1,5,.200,0,0,,1,2,3,3,2,0,3,2,7,0.0,-41
71,63,2016-03-18,19-140,PHO,W (+5),LAL,1,35:50,5,18,.278,1,5,.200,10,10,1.000,1,4,5,7,1,0,2,4,21,14.6,+9
72,64,2016-03-21,19-143,PHO,L (-6),MEM,1,32:51,5,13,.385,2,8,.250,6,8,.750,1,3,4,2,0,0,2,5,18,9.1,-21
73,65,2016-03-23,19-145,PHO,W (+12),LAL,1,41:05,12,22,.545,1,4,.250,3,4,.750,0,3,3,7,1,1,2,4,28,20.9,+22
74,66,2016-03-25,19-147,PHO,L (-22),SAC,1,34:04,11,21,.524,2,8,.250,2,4,.500,0,5,5,4,2,1,9,3,26,11.7,-16
75,67,2016-03-26,19-148,PHO,L (-3),BOS,1,33:34,8,20,.400,1,4,.250,4,4,1.000,1,3,4,4,1,0,2,4,21,12.0,+9
76,68,2016-03-28,19-150,PHO,L (-5),MIN,1,43:16,10,22,.455,2,4,.500,8,9,.889,0,3,3,5,0,1,4,4,30,17.7,-4
77,69,2016-03-30,19-152,PHO,L (-11),MIL,1,38:03,8,16,.500,2,6,.333,0,0,,1,3,4,4,0,0,7,3,18,6.2,-18
78,70,2016-04-01,19-154,PHO,L (-7),WAS,1,34:39,6,22,.273,1,5,.200,1,2,.500,1,3,4,0,0,1,3,3,14,-1.3,-5
79,71,2016-04-03,19-156,PHO,L (-15),UTA,1,40:37,5,15,.333,2,5,.400,2,2,1.000,0,2,2,7,2,1,4,3,14,8.5,-11
80,72,2016-04-05,19-158,PHO,L (-13),ATL,1,38:40,12,25,.480,4,9,.444,6,10,.600,0,5,5,2,2,0,2,4,34,21.0,-9
81,73,2016-04-07,19-160,PHO,W (+9),HOU,1,37:51,4,15,.267,1,6,.167,6,6,1.000,0,0,0,4,1,1,5,4,15,4.0,+3
82,74,2016-04-09,19-162,PHO,W (+21),NOP,1,26:56,7,11,.636,1,3,.333,1,1,1.000,1,3,4,5,0,1,2,4,16,13.3,+17
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,75,2016-04-11,19-164,PHO,L (-4),SAC,1,32:54,8,20,.400,0,5,.000,6,6,1.000,1,3,4,4,1,1,4,5,22,11.3,+4
85,76,2016-04-13,19-166,PHO,W (+9),LAC,1,26:42,4,14,.286,2,5,.400,2,2,1.000,0,2,2,2,1,1,5,2,12,1.7,+13
0,1,2016-10-26,19-362,PHO,L (-19),SAC,1,24:33,8,12,.667,0,3,.000,2,5,.400,0,2,2,3,0,0,4,5,18,8.3,-5
1,2,2016-10-28,19-364,PHO,L (-3),OKC,1,43:53,8,25,.320,2,8,.250,3,5,.600,2,4,6,1,0,0,1,3,21,7.0,-1
2,3,2016-10-30,20-000,PHO,L (-6),GSW,1,28:19,3,12,.250,1,4,.250,0,0,,0,0,0,2,0,1,2,0,7,-0.1,-10
3,,2016-10-31,20-001,PHO,L (-18),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
4,4,2016-11-02,20-003,PHO,W (+3),POR,1,38:31,6,15,.400,1,2,.500,2,4,.500,0,3,3,2,2,0,2,3,15,7.2,+8
5,5,2016-11-04,20-005,PHO,W (+1),NOP,1,41:27,13,22,.591,3,7,.429,9,9,1.000,0,4,4,3,0,0,6,6,38,22.7,+2
6,6,2016-11-06,20-007,PHO,L (-11),LAL,1,45:15,13,29,.448,3,7,.429,10,10,1.000,1,2,3,7,0,0,2,3,39,26.9,-4
7,7,2016-11-08,20-009,PHO,L (-3),POR,1,31:10,8,18,.444,2,6,.333,5,5,1.000,0,0,0,0,1,0,2,3,23,11.4,-9
8,8,2016-11-09,20-010,PHO,W (+7),DET,1,33:29,3,9,.333,1,5,.200,4,5,.800,0,2,2,4,1,2,3,2,11,7.5,+10
