,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
63,61,2012-04-16,23-031,LAC,W (+15),OKC,1,34:44,7,15,.467,0,0,,3,5,.600,2,9,11,6,0,4,4,4,17,14.0,+20
64,62,2012-04-18,23-033,LAC,W (+6),DEN,1,29:54,5,12,.417,0,0,,2,6,.333,4,3,7,5,2,0,4,5,12,7.2,+3
65,63,2012-04-19,23-034,LAC,L (-3),PHO,1,37:28,7,17,.412,0,1,.000,2,4,.500,5,6,11,1,0,1,2,2,16,10.0,-3
66,64,2012-04-22,23-037,LAC,W (+9),NOH,1,38:07,7,10,.700,0,0,,7,9,.778,6,9,15,2,1,0,1,3,21,23.1,+8
67,65,2012-04-24,23-039,LAC,L (-7),ATL,1,37:37,17,23,.739,0,0,,2,4,.500,5,3,8,3,0,1,4,5,36,27.1,+13
68,66,2012-04-25,23-040,LAC,L (-6),NYK,1,41:13,11,14,.786,0,1,.000,7,14,.500,3,7,10,6,2,0,1,4,29,28.6,+5
0,1,2012-10-31,23-229,LAC,W (+9),MEM,1,32:09,4,10,.400,0,0,,3,5,.600,2,5,7,2,0,1,4,4,11,4.2,+4
1,2,2012-11-02,23-231,LAC,W (+10),LAL,1,33:07,6,15,.400,0,1,.000,3,5,.600,3,5,8,3,2,0,4,6,15,7.4,+15
2,3,2012-11-03,23-232,LAC,L (-4),GSW,1,37:58,4,12,.333,0,0,,11,16,.688,2,9,11,4,3,0,2,5,19,16.1,+3
3,4,2012-11-05,23-234,LAC,L (-7),CLE,1,35:24,9,14,.643,0,1,.000,2,2,1.000,0,6,6,5,1,3,5,2,20,16.4,-11
4,5,2012-11-07,23-236,LAC,W (+22),SAS,1,29:56,10,16,.625,0,0,,2,3,.667,0,10,10,3,0,1,2,2,22,17.4,+29
5,6,2012-11-08,23-237,LAC,W (+13),POR,1,25:31,3,9,.333,0,0,,1,4,.250,0,10,10,4,3,0,2,3,7,6.3,+2
6,7,2012-11-11,23-240,LAC,W (+13),ATL,1,30:07,7,11,.636,0,0,,2,2,1.000,1,5,6,4,1,0,3,1,16,13.7,+5
7,8,2012-11-14,23-243,LAC,W (+7),MIA,1,30:10,8,16,.500,0,0,,4,6,.667,4,10,14,6,0,2,3,2,20,18.8,+8
8,9,2012-11-17,23-246,LAC,W (+21),CHI,1,33:02,11,18,.611,0,0,,4,5,.800,2,8,10,2,2,0,4,3,26,19.4,+16
9,10,2012-11-19,23-248,LAC,W (+5),SAS,1,34:24,8,18,.444,0,0,,0,4,.000,3,9,12,0,1,0,3,1,16,7.4,-3
10,11,2012-11-21,23-250,LAC,L (-6),OKC,1,38:48,9,16,.563,0,0,,5,8,.625,2,4,6,1,3,1,3,5,23,16.2,-12
11,12,2012-11-23,23-252,LAC,L (-10),BRK,1,36:58,5,10,.500,0,0,,4,8,.500,2,6,8,3,0,2,2,0,14,12.1,-8
12,13,2012-11-24,23-253,LAC,L (-11),ATL,1,33:38,9,17,.529,0,0,,4,6,.667,2,9,11,7,0,0,2,5,22,17.9,-16
13,14,2012-11-26,23-255,LAC,L (-7),NOH,1,34:48,1,9,.111,0,1,.000,2,3,.667,0,6,6,3,1,0,4,6,4,-3.8,-6
14,15,2012-11-28,23-257,LAC,W (+6),MIN,1,32:46,9,17,.529,0,0,,0,0,,2,4,6,3,2,0,1,5,18,13.4,+11
15,16,2012-12-01,23-260,LAC,W (+35),SAC,1,28:38,5,10,.500,0,0,,4,5,.800,1,8,9,2,1,0,0,2,14,13.3,+20
16,17,2012-12-03,23-262,LAC,W (+1),UTA,1,36:38,14,20,.700,0,1,.000,2,3,.667,1,10,11,1,1,0,0,2,30,25.8,-11
17,18,2012-12-05,23-264,LAC,W (+22),DAL,1,28:13,8,13,.615,0,1,.000,3,4,.750,3,10,13,5,2,1,2,2,19,21.2,+16
18,19,2012-12-08,23-267,LAC,W (+18),PHO,1,28:55,10,17,.588,0,0,,4,10,.400,3,5,8,4,4,1,1,2,24,23.0,0
19,20,2012-12-09,23-268,LAC,W (+19),TOR,1,29:10,7,11,.636,0,0,,5,6,.833,2,7,9,4,3,0,0,1,19,22.6,+2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2012-12-11,23-270,LAC,W (+5),CHI,1,37:25,10,19,.526,1,2,.500,1,2,.500,4,6,10,3,1,0,0,1,22,19.6,+8
22,22,2012-12-12,23-271,LAC,W (+6),CHA,1,37:44,9,17,.529,0,0,,1,5,.200,2,3,5,3,0,2,2,2,19,12.1,+2
23,23,2012-12-15,23-274,LAC,W (+26),MIL,1,27:29,7,12,.583,0,0,,4,5,.800,3,8,11,1,2,0,0,0,18,19.2,+14
24,24,2012-12-17,23-276,LAC,W (+12),DET,1,28:18,6,11,.545,0,0,,3,4,.750,2,2,4,3,2,1,0,4,15,14.5,+8
