,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
71,48,2009-03-29,24-185,SAC,W (+8),PHO,0,23:55,4,8,.500,0,2,.000,4,4,1.000,2,0,2,5,2,0,0,1,12,14.5,+7
72,49,2009-03-31,24-187,SAC,L (-1),NOH,0,22:44,5,9,.556,2,4,.500,1,2,.500,0,3,3,2,1,0,0,4,13,10.0,+2
73,50,2009-04-01,24-188,SAC,L (-2),GSW,0,38:11,5,14,.357,1,4,.250,3,5,.600,0,4,4,3,1,0,0,5,14,7.7,+5
74,51,2009-04-03,24-190,SAC,L (-28),PHO,0,19:57,5,9,.556,3,3,1.000,4,6,.667,1,1,2,1,1,0,2,3,17,11.4,-6
75,52,2009-04-05,24-192,SAC,L (-5),GSW,0,21:40,3,12,.250,1,3,.333,7,8,.875,1,3,4,1,1,1,3,2,14,6.6,-5
76,53,2009-04-07,24-194,SAC,L (-18),LAL,0,10:03,2,8,.250,0,3,.000,0,0,,1,0,1,2,0,0,1,1,4,-0.1,-17
77,54,2009-04-09,24-196,SAC,L (-17),HOU,0,17:26,2,7,.286,1,4,.250,0,0,,0,0,0,2,1,1,1,1,5,2.6,-1
78,55,2009-04-10,24-197,SAC,L (-31),LAC,0,11:59,3,7,.429,2,5,.400,2,2,1.000,0,0,0,1,0,0,1,0,10,6.0,-11
79,56,2009-04-12,24-199,SAC,L (-3),SAS,0,12:51,2,4,.500,1,1,1.000,4,4,1.000,0,1,1,1,0,0,2,0,9,6.0,+8
80,57,2009-04-13,24-200,SAC,L (-20),DEN,0,11:49,2,6,.333,1,4,.250,0,0,,0,0,0,0,0,1,1,1,5,0.9,-4
81,58,2009-04-15,24-202,SAC,W (+7),MIN,0,27:43,6,12,.500,1,5,.200,1,1,1.000,0,2,2,4,2,0,0,0,14,13.4,+2
