,G,2004 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
112,5,2011-04-26,WC1,LAL,,NOH,5,W (+16),0,28:46,4,12,.333,1,4,.250,4,4,1.000,1,6,7,2,1,1,1,3,13,9.6,+13
113,6,2011-04-28,WC1,LAL,@,NOH,6,W (+18),0,31:31,5,10,.500,1,2,.500,3,4,.750,1,7,8,4,0,0,0,1,14,13.8,+11
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,7,2011-05-02,WCS,LAL,,DAL,1,L (-2),0,31:01,5,10,.500,0,1,.000,5,5,1.000,3,9,12,2,0,1,1,1,15,15.5,+3
116,8,2011-05-04,WCS,LAL,,DAL,2,L (-12),0,26:04,3,12,.250,0,2,.000,0,1,.000,2,7,9,3,0,0,1,2,6,2.2,-18
117,9,2011-05-06,WCS,LAL,@,DAL,3,L (-6),1,42:15,8,16,.500,0,1,.000,2,3,.667,1,5,6,3,1,1,1,3,18,13.4,-1
118,10,2011-05-08,WCS,LAL,@,DAL,4,L (-36),0,17:39,4,5,.800,0,0,,2,5,.400,2,0,2,1,0,0,3,5,10,4.0,-6
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,2013-04-20,WC1,LAC,,MEM,1,W (+21),0,18:21,1,7,.143,0,1,.000,2,4,.500,3,4,7,3,0,1,2,3,4,1.6,-8
121,2,2013-04-22,WC1,LAC,,MEM,2,W (+2),0,18:06,0,2,.000,0,1,.000,0,0,,1,4,5,2,0,1,2,3,0,-0.6,-1
122,3,2013-04-25,WC1,LAC,@,MEM,3,L (-12),0,13:33,3,4,.750,3,4,.750,0,0,,0,2,2,1,1,1,0,1,9,10.0,+5
123,4,2013-04-27,WC1,LAC,@,MEM,4,L (-21),0,20:51,2,4,.500,1,3,.333,0,0,,0,3,3,1,3,1,0,4,5,6.7,-7
124,5,2013-04-30,WC1,LAC,,MEM,5,L (-10),0,13:03,2,5,.400,0,3,.000,1,2,.500,0,4,4,2,1,1,4,1,5,1.8,+1
125,6,2013-05-03,WC1,LAC,@,MEM,6,L (-13),1,23:20,3,8,.375,1,2,.500,0,0,,0,2,2,2,0,0,2,4,7,1.0,-22
