,G,2015 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,6,2017-05-03,ECS,CLE,,TOR,2,W (+22),1,29:05,4,5,.800,0,0,,1,3,.333,3,6,9,2,0,1,0,2,9,11.5,+25
56,7,2017-05-05,ECS,CLE,@,TOR,3,W (+21),1,37:31,3,6,.500,0,0,,3,5,.600,4,7,11,0,0,1,0,2,9,10.0,+16
57,8,2017-05-07,ECS,CLE,@,TOR,4,W (+7),1,31:43,3,5,.600,0,0,,0,0,,3,4,7,1,1,0,2,3,6,5.5,-12
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9,2017-05-17,ECF,CLE,@,BOS,1,W (+13),1,34:06,7,7,1.000,0,0,,6,10,.600,6,3,9,2,2,0,1,3,20,22.6,+15
60,10,2017-05-19,ECF,CLE,@,BOS,2,W (+44),1,25:26,3,5,.600,0,0,,1,2,.500,1,1,2,1,0,0,2,2,7,3.2,+19
61,11,2017-05-21,ECF,CLE,,BOS,3,L (-3),1,42:09,3,4,.750,0,0,,12,15,.800,7,6,13,1,0,1,2,1,18,20.9,-5
62,12,2017-05-23,ECF,CLE,,BOS,4,W (+13),1,37:05,3,4,.750,0,0,,1,2,.500,1,6,7,0,0,1,1,2,7,6.4,+14
63,13,2017-05-25,ECF,CLE,@,BOS,5,W (+33),1,29:07,1,3,.333,0,0,,4,4,1.000,1,4,5,1,0,1,0,0,6,7.6,+33
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,14,2017-06-01,FIN,CLE,@,GSW,1,L (-22),1,22:25,0,3,.000,0,0,,0,0,,3,1,4,2,0,0,1,2,0,-0.1,-13
66,15,2017-06-04,FIN,CLE,@,GSW,2,L (-19),1,21:14,4,7,.571,0,0,,0,0,,2,2,4,1,2,0,0,2,8,8.6,-18
67,16,2017-06-07,FIN,CLE,,GSW,3,L (-5),1,23:05,0,1,.000,0,0,,0,0,,1,2,3,2,0,2,1,1,0,2.0,-6
68,17,2017-06-09,FIN,CLE,,GSW,4,W (+21),1,35:36,2,3,.667,0,0,,1,2,.500,4,6,10,5,0,0,2,4,5,7.8,+3
69,18,2017-06-12,FIN,CLE,@,GSW,5,L (-9),1,29:52,6,8,.750,0,0,,3,4,.750,4,4,8,3,1,1,3,1,15,15.8,-7
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,2018-04-15,EC1,CLE,,IND,1,L (-18),0,1:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
72,,2018-04-18,EC1,CLE,,IND,2,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
73,,2018-04-20,EC1,CLE,@,IND,3,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
74,2,2018-04-22,EC1,CLE,@,IND,4,W (+4),0,7:28,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1.1,+7
75,,2018-04-25,EC1,CLE,,IND,5,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
76,3,2018-04-27,EC1,CLE,@,IND,6,L (-34),0,14:03,1,2,.500,0,0,,1,2,.500,2,2,4,1,0,0,1,0,3,3.3,-16
77,4,2018-04-29,EC1,CLE,,IND,7,W (+4),1,34:54,5,6,.833,0,0,,5,6,.833,5,5,10,1,1,1,3,2,15,16.0,+2
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,2018-05-01,ECS,CLE,@,TOR,1,W (+1),0,26:02,5,8,.625,0,0,,4,4,1.000,9,3,12,0,0,0,0,4,14,16.0,+2
