,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
22,,2021-12-01,25-134,PHI,L (-1),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2021-12-03,25-136,PHI,W (+2),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2021-12-06,25-139,PHI,W (+3),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2021-12-08,25-141,PHI,W (+4),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2021-12-09,25-142,PHI,L (-22),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2021-12-11,25-144,PHI,W (+9),GSW,Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2021-12-13,25-146,PHI,L (-35),MEM,Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2021-12-15,25-148,PHI,L (-5),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2021-12-16,25-149,PHI,L (-9),BRK,Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2021-12-20,25-153,PHI,W (+5),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2021-12-23,25-156,PHI,L (-2),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2021-12-26,25-159,PHI,W (+21),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2021-12-28,25-161,PHI,W (+5),TOR,Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2021-12-30,25-163,PHI,W (+8),BRK,Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2022-01-03,25-167,PHI,W (+20),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2022-01-05,25-169,PHI,W (+10),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2022-01-07,25-171,PHI,W (+19),SAS,Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2022-01-10,25-174,PHI,W (+20),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
40,,2022-01-12,25-176,PHI,L (-11),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,2022-01-14,25-178,PHI,W (+12),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
43,,2022-01-15,25-179,PHI,W (+11),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
44,,2022-01-17,25-181,PHI,L (-19),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
45,,2022-01-19,25-183,PHI,W (+13),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
46,,2022-01-21,25-185,PHI,L (-1),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
47,,2022-01-23,25-187,PHI,W (+6),SAS,Inactive,,,,,,,,,,,,,,,,,,,,,
48,,2022-01-25,25-189,PHI,W (+10),NOP,Inactive,,,,,,,,,,,,,,,,,,,,,
49,,2022-01-27,25-191,PHI,W (+18),LAL,Inactive,,,,,,,,,,,,,,,,,,,,,
50,,2022-01-29,25-193,PHI,W (+2),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
